,date,price
415,2020-08-13,11790.68
416,2020-08-14,11774.52
417,2020-08-15,11860.91
418,2020-08-16,11917.97
419,2020-08-17,12301.19
420,2020-08-18,11956.69
421,2020-08-19,11760.37
422,2020-08-20,11863.43
423,2020-08-21,11527.35
424,2020-08-22,11670.42
425,2020-08-23,11651.52
426,2020-08-24,11756.4
427,2020-08-25,11330.56
428,2020-08-26,11466.89
429,2020-08-27,11331.02
430,2020-08-28,11535.21
431,2020-08-29,11480.48
432,2020-08-30,11716.54
433,2020-08-31,11657.81
434,2020-09-01,11926.69
435,2020-09-02,11397.9
436,2020-09-03,10174.62
437,2020-09-04,10467.33
438,2020-09-05,10167.97
439,2020-09-06,10260.37
440,2020-09-07,10379.08
441,2020-09-08,10128.54
442,2020-09-09,10228.85
443,2020-09-10,10345.68
444,2020-09-11,10398.5
445,2020-09-12,10448.0
446,2020-09-13,10332.36
447,2020-09-14,10678.31
448,2020-09-15,10786.7
449,2020-09-16,10957.1
450,2020-09-17,10945.14
451,2020-09-18,10937.89
452,2020-09-19,11083.61
453,2020-09-20,10921.85
454,2020-09-21,10418.14
455,2020-09-22,10534.73
456,2020-09-23,10238.09
457,2020-09-24,10742.98
458,2020-09-25,10694.12
459,2020-09-26,10734.23
460,2020-09-27,10781.47
461,2020-09-28,10699.0
462,2020-09-29,10841.29
463,2020-09-30,10779.42
464,2020-10-01,10622.79
465,2020-10-02,10576.64
466,2020-10-03,10552.04
467,2020-10-04,10675.52
468,2020-10-05,10795.11
469,2020-10-06,10603.9
470,2020-10-07,10672.67
471,2020-10-08,10929.4
472,2020-10-09,11058.78
473,2020-10-10,11301.57
474,2020-10-11,11375.51
475,2020-10-12,11539.76
476,2020-10-13,11427.29
477,2020-10-14,11429.3
478,2020-10-15,11508.31
479,2020-10-16,11326.25
480,2020-10-17,11367.65
481,2020-10-18,11513.33
482,2020-10-19,11756.88
483,2020-10-20,11921.78
484,2020-10-21,12813.11
485,2020-10-22,12990.25
486,2020-10-23,12937.2
487,2020-10-24,13126.13
488,2020-10-25,13041.21
489,2020-10-26,13069.43
490,2020-10-27,13646.02
491,2020-10-28,13285.97
492,2020-10-29,13462.18
493,2020-10-30,13565.95
494,2020-10-31,13803.41
495,2020-11-01,13761.72
496,2020-11-02,13571.24
497,2020-11-03,14023.78
498,2020-11-04,14157.73
499,2020-11-05,15599.92
500,2020-11-06,15590.62
501,2020-11-07,14838.16
502,2020-11-08,15488.25
503,2020-11-09,15335.03
504,2020-11-10,15313.73
505,2020-11-11,15707.08
506,2020-11-12,16306.53
507,2020-11-13,16332.85
508,2020-11-14,16075.95
509,2020-11-15,15964.7
510,2020-11-16,16721.46
511,2020-11-17,17681.54
512,2020-11-18,17786.27
513,2020-11-19,17824.64
514,2020-11-20,18672.78
515,2020-11-21,18704.06
516,2020-11-22,18430.59
517,2020-11-23,18385.74
518,2020-11-24,19157.16
519,2020-11-25,18725.76
520,2020-11-26,17175.86
521,2020-11-27,17155.0
522,2020-11-28,17739.9
523,2020-11-29,18199.23
524,2020-11-30,19686.87
525,2020-12-01,18792.03
526,2020-12-02,19226.19
527,2020-12-03,19448.44
528,2020-12-04,18665.0
529,2020-12-05,19156.84
530,2020-12-06,19378.94
531,2020-12-07,19181.41
532,2020-12-08,18323.52
533,2020-12-09,18549.92
534,2020-12-10,18250.47
535,2020-12-11,18034.86
536,2020-12-12,18814.98
537,2020-12-13,19169.05
538,2020-12-14,19274.69
539,2020-12-15,19441.96
540,2020-12-16,21352.13
541,2020-12-17,22822.17
542,2020-12-18,23135.57
543,2020-12-19,23844.72
544,2020-12-20,23467.06
545,2020-12-21,22727.13
546,2020-12-22,23823.32
547,2020-12-23,23239.5
548,2020-12-24,23724.2
549,2020-12-25,24707.98
550,2020-12-26,26445.7
551,2020-12-27,26249.27
552,2020-12-28,27039.45
553,2020-12-29,27360.78
554,2020-12-30,28889.61
555,2020-12-31,28972.4
556,2021-01-01,29388.94
557,2021-01-02,32203.64
558,2021-01-03,33063.48
559,2021-01-04,32030.55
560,2021-01-05,34038.29
561,2021-01-06,36849.86
562,2021-01-07,39479.41
563,2021-01-08,40636.24
564,2021-01-09,40236.66
565,2021-01-10,38202.08
566,2021-01-11,35496.03
567,2021-01-12,34058.4
568,2021-01-13,37380.85
569,2021-01-14,39155.58
570,2021-01-15,36790.17
571,2021-01-16,36025.26
572,2021-01-17,35839.51
573,2021-01-18,36623.04
574,2021-01-19,35932.79
575,2021-01-20,35501.38
576,2021-01-21,30840.3
577,2021-01-22,33008.02
578,2021-01-23,32107.29
579,2021-01-24,32283.66
580,2021-01-25,32275.27
581,2021-01-26,32516.52
582,2021-01-27,30423.05
583,2021-01-28,33443.87
584,2021-01-29,34252.08
585,2021-01-30,34317.82
586,2021-01-31,33143.22
587,2021-02-01,33535.94
588,2021-02-02,35524.43
589,2021-02-03,37677.34
590,2021-02-04,36983.42
591,2021-02-05,38310.24
592,2021-02-06,39267.01
593,2021-02-07,38868.82
594,2021-02-08,46437.41
595,2021-02-09,46509.57
596,2021-02-10,44854.95
597,2021-02-11,48006.18
598,2021-02-12,47435.54
599,2021-02-13,47222.32
600,2021-02-14,48652.87
601,2021-02-15,47936.51
602,2021-02-16,49184.63
603,2021-02-17,52154.91
604,2021-02-18,51591.61
605,2021-02-19,55933.47
606,2021-02-20,55900.84
607,2021-02-21,57469.95
608,2021-02-22,54121.17
609,2021-02-23,48898.7
610,2021-02-24,49738.17
611,2021-02-25,47082.87
612,2021-02-26,46324.5
613,2021-02-27,46191.39
614,2021-02-28,45261.03
615,2021-03-01,49635.07
616,2021-03-02,48501.21
617,2021-03-03,50392.55
618,2021-03-04,48363.74
619,2021-03-05,48775.37
620,2021-03-06,48892.8
621,2021-03-07,50964.18
622,2021-03-08,52405.02
623,2021-03-09,54928.7
624,2021-03-10,55893.31
625,2021-03-11,57809.41
626,2021-03-12,57256.22
627,2021-03-13,61179.79
628,2021-03-14,58998.89
629,2021-03-15,55665.01
630,2021-03-16,56925.01
631,2021-03-17,58909.0
632,2021-03-18,57643.32
633,2021-03-19,58060.21
634,2021-03-20,58101.34
635,2021-03-21,57374.95
636,2021-03-22,54095.36
637,2021-03-23,54355.45
638,2021-03-24,52303.02
639,2021-03-25,51336.09
640,2021-03-26,55055.43
641,2021-03-27,55863.73
642,2021-03-28,55781.01
643,2021-03-29,57626.1
644,2021-03-30,58781.54
645,2021-03-31,58793.8
646,2021-04-01,58730.82
647,2021-04-02,58987.8
648,2021-04-03,57074.97
649,2021-04-04,58219.43
650,2021-04-05,59119.56
651,2021-04-06,58010.35
652,2021-04-07,55951.98
653,2021-04-08,58084.46
654,2021-04-09,58106.85
655,2021-04-10,59784.8
656,2021-04-11,59980.45
657,2021-04-12,59845.76
658,2021-04-13,63558.48
659,2021-04-14,62964.27
660,2021-04-15,63233.03
661,2021-04-16,61416.41
662,2021-04-17,60056.07
663,2021-04-18,56246.82
664,2021-04-19,55680.11
665,2021-04-20,56496.06
666,2021-04-21,53803.25
667,2021-04-22,51717.61
668,2021-04-23,51178.03
669,2021-04-24,50115.99
670,2021-04-25,49120.97
671,2021-04-26,54062.29
672,2021-04-27,55073.48
673,2021-04-28,54877.94
674,2021-04-29,53581.58
675,2021-04-30,57757.97
676,2021-05-01,57843.16
677,2021-05-02,56623.51
678,2021-05-03,57195.07
679,2021-05-04,53244.07
680,2021-05-05,57506.88
681,2021-05-06,56441.94
682,2021-05-07,57374.33
683,2021-05-08,58943.13
684,2021-05-09,58294.18
685,2021-05-10,55870.01
686,2021-05-11,56747.52
687,2021-05-12,49504.08
688,2021-05-13,49700.6
689,2021-05-14,49887.96
690,2021-05-15,46775.29
691,2021-05-16,46490.71
692,2021-05-17,43552.14
693,2021-05-18,42886.02
694,2021-05-19,36771.87
695,2021-05-20,40597.4
696,2021-05-21,37350.39
697,2021-05-22,37491.5
698,2021-05-23,34716.84
699,2021-05-24,38837.76
700,2021-05-25,38387.36
701,2021-05-26,39295.08
702,2021-05-27,38538.84
703,2021-05-28,35680.92
704,2021-05-29,34611.58
705,2021-05-30,35662.59
706,2021-05-31,37290.83
707,2021-06-01,36683.51
708,2021-06-02,37576.98
709,2021-06-03,39229.66
710,2021-06-04,36861.5
711,2021-06-05,35538.4
712,2021-06-06,35798.57
713,2021-06-07,33582.86
714,2021-06-08,33409.38
715,2021-06-09,37391.58
716,2021-06-10,36680.78
717,2021-06-11,37339.98
718,2021-06-12,35541.78
719,2021-06-13,39017.37
720,2021-06-14,40526.63
721,2021-06-15,40161.86
722,2021-06-16,38345.41
723,2021-06-17,38082.3
724,2021-06-18,35830.29
725,2021-06-19,35515.38
726,2021-06-20,35602.26
727,2021-06-21,31652.62
728,2021-06-22,32537.58
729,2021-06-23,33678.64
730,2021-06-24,34649.84
731,2021-06-25,31593.86
732,2021-06-26,32307.35
733,2021-06-27,34713.81
734,2021-06-28,34487.11
735,2021-06-29,35901.41
736,2021-06-30,35056.39
737,2021-07-01,33543.11
738,2021-07-02,33804.54
739,2021-07-03,34682.84
740,2021-07-04,35287.97
741,2021-07-05,33702.79
742,2021-07-06,34237.66
743,2021-07-07,33880.79
744,2021-07-08,32874.01
745,2021-07-09,33804.2
746,2021-07-10,33515.13
747,2021-07-11,34249.3
748,2021-07-12,33088.51
749,2021-07-13,32737.47
750,2021-07-14,32820.5
751,2021-07-15,31867.46
752,2021-07-16,31401.76
753,2021-07-17,31546.64
754,2021-07-18,31806.3
755,2021-07-19,30847.55
756,2021-07-20,29795.55
757,2021-07-21,32139.48
758,2021-07-22,32299.47
759,2021-07-23,33637.92
760,2021-07-24,34282.56
761,2021-07-25,35369.93
762,2021-07-26,37269.52
763,2021-07-27,39496.69
764,2021-07-28,40030.01
765,2021-07-29,40030.52
766,2021-07-30,42231.83
767,2021-07-31,41474.72
768,2021-08-01,39870.76
769,2021-08-02,39158.53
770,2021-08-03,38189.3
771,2021-08-04,39738.56
772,2021-08-05,40888.18
773,2021-08-06,42852.18
774,2021-08-07,44617.96
775,2021-08-08,43827.75
776,2021-08-09,46292.61
777,2021-08-10,45601.03
778,2021-08-11,45556.69
779,2021-08-12,44425.52
780,2021-08-13,47832.93
781,2021-08-14,47102.03
782,2021-08-15,47015.94
783,2021-08-16,45927.4
784,2021-08-17,44684.43
785,2021-08-18,44714.54
786,2021-08-19,46761.49
787,2021-08-20,49336.45
788,2021-08-21,48867.87
789,2021-08-22,49289.71
790,2021-08-23,49521.06
791,2021-08-24,47690.54
792,2021-08-25,48996.44
793,2021-08-26,46852.22
794,2021-08-27,49088.1
795,2021-08-28,48918.9
796,2021-08-29,48794.26
797,2021-08-30,46993.31
798,2021-08-31,47159.26
799,2021-09-01,48840.01
800,2021-09-02,49280.77
801,2021-09-03,50019.51
802,2021-09-04,49935.29
803,2021-09-05,51784.16
804,2021-09-06,52693.32
805,2021-09-07,46856.31
806,2021-09-08,46073.45
807,2021-09-09,46392.85
808,2021-09-10,44853.1
809,2021-09-11,45166.12
810,2021-09-12,46049.72
811,2021-09-13,44958.56
812,2021-09-14,47129.01
813,2021-09-15,48148.45
814,2021-09-16,47764.47
815,2021-09-17,47297.98
816,2021-09-18,48312.46
817,2021-09-19,47251.76
818,2021-09-20,42925.46
819,2021-09-21,40709.59
820,2021-09-22,43576.15
821,2021-09-23,44893.87
822,2021-09-24,42848.41
823,2021-09-25,42721.91
824,2021-09-26,43201.79
825,2021-09-27,42187.51
826,2021-09-28,41056.79
827,2021-09-29,41539.43
828,2021-09-30,43829.34
829,2021-10-01,48164.35
830,2021-10-02,47669.02
831,2021-10-03,48234.05
832,2021-10-04,49276.91
833,2021-10-05,51504.27
834,2021-10-06,55345.85
835,2021-10-07,53797.21
836,2021-10-08,53949.29
837,2021-10-09,54968.04
838,2021-10-10,54700.24
839,2021-10-11,57498.8
840,2021-10-12,56010.9
841,2021-10-13,57369.0
842,2021-10-14,57359.21
843,2021-10-15,61684.96
844,2021-10-16,60877.77
845,2021-10-17,61520.54
846,2021-10-18,62038.16
847,2021-10-19,64283.97
848,2021-10-20,66021.02
849,2021-10-21,62283.96
850,2021-10-22,60693.59
851,2021-10-23,61313.09
852,2021-10-24,60863.56
853,2021-10-25,63089.04
854,2021-10-26,60315.68
855,2021-10-27,58464.42
856,2021-10-28,60610.11
857,2021-10-29,62282.5
858,2021-10-30,61891.91
859,2021-10-31,61349.75
860,2021-11-01,60960.98
861,2021-11-02,63260.05
862,2021-11-03,62929.93
863,2021-11-04,61448.47
864,2021-11-05,61019.66
865,2021-11-06,61529.76
866,2021-11-07,63302.78
867,2021-11-08,67549.14
868,2021-11-09,66939.24
869,2021-11-10,64926.06
870,2021-11-11,64820.8
871,2021-11-12,64156.3
872,2021-11-13,64409.56
873,2021-11-14,65509.06
874,2021-11-15,63614.06
875,2021-11-16,60108.9
876,2021-11-17,60365.6
877,2021-11-18,56930.68
878,2021-11-19,58136.22
879,2021-11-20,59769.66
880,2021-11-21,58700.83
881,2021-11-22,56303.06
882,2021-11-23,57566.6
883,2021-11-24,57175.09
884,2021-11-25,58966.99
885,2021-11-26,53788.22
886,2021-11-27,54805.03
887,2021-11-28,57331.41
888,2021-11-29,57839.55
889,2021-11-30,56975.35
890,2021-12-01,57227.97
891,2021-12-02,56522.76
892,2021-12-03,53663.25
893,2021-12-04,49243.39
894,2021-12-05,49465.5
895,2021-12-06,50552.83
896,2021-12-07,50633.01
897,2021-12-08,50513.04
898,2021-12-09,47593.85
899,2021-12-10,47191.14
900,2021-12-11,49398.4
901,2021-12-12,50109.99
902,2021-12-13,46731.03
903,2021-12-14,48387.69
904,2021-12-15,48885.05
905,2021-12-16,47635.92
906,2021-12-17,46164.14
907,2021-12-18,46861.62
908,2021-12-19,46697.13
909,2021-12-20,46913.54
910,2021-12-21,48917.48
911,2021-12-22,48614.97
912,2021-12-23,50830.2
913,2021-12-24,50840.36
914,2021-12-25,50431.63
915,2021-12-26,50790.88
916,2021-12-27,50714.73
917,2021-12-28,47536.39
918,2021-12-29,46471.7
919,2021-12-30,47129.66
920,2021-12-31,46197.31
921,2022-01-01,47737.35
922,2022-01-02,47306.41
923,2022-01-03,46450.79
924,2022-01-04,45824.54
925,2022-01-05,43432.51
926,2022-01-06,43094.54
927,2022-01-07,41543.79
928,2022-01-08,41686.67
929,2022-01-09,41869.6
930,2022-01-10,41832.59
931,2022-01-11,42743.03
932,2022-01-12,43919.67
933,2022-01-13,42575.61
934,2022-01-14,43089.83
935,2022-01-15,43088.74
936,2022-01-16,43100.36
937,2022-01-17,42224.38
938,2022-01-18,42372.75
939,2022-01-19,41674.8
940,2022-01-20,40697.03
941,2022-01-21,36469.3
942,2022-01-22,35075.92
943,2022-01-23,36288.15
944,2022-01-24,36702.79
945,2022-01-25,36975.99
946,2022-01-26,36829.37
947,2022-01-27,37189.85
948,2022-01-28,37744.7
949,2022-01-29,38184.86
950,2022-01-30,37908.44
951,2022-01-31,38494.66
952,2022-02-01,38721.49
953,2022-02-02,36918.19
954,2022-02-03,37328.64
955,2022-02-04,41590.34
956,2022-02-05,41418.21
957,2022-02-06,42412.41
958,2022-02-07,43861.07
959,2022-02-08,44080.12
960,2022-02-09,44422.91
961,2022-02-10,43531.67
962,2022-02-11,42398.98
963,2022-02-12,42239.01
964,2022-02-13,42069.84
965,2022-02-14,42552.28
966,2022-02-15,44576.33
967,2022-02-16,43896.34
968,2022-02-17,40545.09
969,2022-02-18,39994.66
970,2022-02-19,40107.12
971,2022-02-20,38397.25
972,2022-02-21,37037.39
973,2022-02-22,38267.75
974,2022-02-23,37270.85
975,2022-02-24,38353.62
976,2022-02-25,39239.77
977,2022-02-26,39134.83
978,2022-02-27,37714.96
979,2022-02-28,43189.46
980,2022-03-01,44428.47
981,2022-03-02,43935.37
982,2022-03-03,42474.37
983,2022-03-04,39154.4
984,2022-03-05,39407.02
985,2022-03-06,38428.92
986,2022-03-07,38030.63
987,2022-03-08,38748.52
988,2022-03-09,41962.85
989,2022-03-10,39443.42
990,2022-03-11,38741.03
991,2022-03-12,38805.53
992,2022-03-13,37796.31
993,2022-03-14,39696.28
994,2022-03-15,39314.86
995,2022-03-16,41133.64
996,2022-03-17,40956.79
997,2022-03-18,41790.97
